,name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval,table_category,experiment_seria,benchmark_path
4,mati-sim 1mln_original_params_cube,0.9553349255712634,0.0,166643786.0,1.444685282607637e-17,886194276.0,9.83522378059701e-41,,,,,,,0.0039207989322785,0.0626162832838119,,,0.5,0.0,0.5,0.0,0.0993287037037037,5.7722249270385735e-186,3.377065172512778e-05,0.9953633309003044,0.9911778309352216,0.0,0.005590948555139,0.9955391046162634,0.0595242498889724,0.9525348264376308,compare_all_cubes_universal_srednie_2D,my demo,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
0,random_cube,-0.0036950399584516,0.4424990479287739,335859372.0,0.0,866216254.0,2.014043173871632e-74,,,,,,,0.1146399420750763,0.3385852065213073,0.1146399420750763,0.3385852065213073,0.5475815838145274,0.0,0.5072041783740369,0.0,0.5048379629629629,0.0,18308.92793113223,0.0,0.0025699150857674,0.5932500413456813,-76.82797613180632,0.0,-76.83132434844622,0.0,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
1,mc456_mc_100k_my_params_cube,0.955046225328912,0.0,465303912.0,0.6250115964700844,930797591.0,0.5263695799352285,,,,,,,0.0076341580180706,0.0873736689058589,0.0076341580180706,0.0873736689058589,0.5057197504624639,0.0,0.5072041783740369,0.0,0.0183564814814814,9.406243643213452e-07,0.3114780915474365,0.5767760287380959,0.9620876237919352,0.0,0.1811984968826615,0.8562121994288051,0.9305751519101532,0.3520785730185689,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
2,mc456_mc_100mln_my_params_cube,0.978793669397388,0.0,182298.0,0.5359166592471589,933552532.0,0.9060712690428694,,,,,,,0.0040522009303213,0.063656900099843,0.0040522009303213,0.063656900099843,0.5072041783740369,0.0,0.5072041783740369,0.0,0.0009953703703703,1.0,0.0263227483616665,0.871114982246082,0.9797992295174772,0.0,0.1950183230521947,0.8453790618651138,1.3719276796747069,0.1700930769379511,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
3,mc456_mc_10k_my_params_cube,0.892957568885234,0.0,450095290.0,2.0682983914968057e-10,906381466.0,3.001613408960443e-13,,,,,,,0.0204265205716148,0.1429213789872418,0.0204265205716148,0.1429213789872418,0.5003655497141858,0.0,0.5072041783740369,0.0,0.0823611111111111,6.605266148499307e-128,16.362656627955417,5.235107833098616e-05,0.9017336454470356,0.0,0.2019419214137041,0.8399626040559316,0.6427998211764601,0.5203574107886795,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
4,mc456_mc_10mln_my_params_cube,0.9775897526550656,0.0,454762839.0,5.227070872203569e-06,933047884.0,0.9843040300627476,,,,,,,0.0038757276344302,0.0622553422159916,0.0038757276344302,0.0622553422159916,0.5071911381094512,0.0,0.5072041783740369,0.0,0.0014583333333333,0.9999999999666432,0.0088544613711997,0.92503141010484,0.9806706150155688,0.0,0.0657627149349801,0.9475668932765652,0.4730102506641003,0.6362082558552931,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
5,mc456_mc_1mln_my_params_cube,0.9724619603887112,0.0,459275695.0,0.0048865238214545,932297483.0,0.8224584290896657,,,,,,,0.0044053627195887,0.06637290651756,0.0044053627195887,0.06637290651756,0.5069766122364132,0.0,0.5072041783740369,0.0,0.0039814814814814,0.8819052992487633,0.0351000154585874,0.8513866772694298,0.9779919212932626,0.0,0.0609085795208131,0.9514321575470996,0.4105652235997288,0.6813934045777715,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
6,mc456_p_100k_my_params_tiss_id_4_g_0_9_ls_down_cube,0.9573795194762,0.0,465599508.0,0.7078684588660251,930285237.0,0.4393278298663294,,,,,,,0.0073086741206975,0.0854907838348528,0.0073086741206975,0.0854907838348528,0.5057197504624639,0.0,0.5072041783740369,0.0,0.0186111111111111,6.262019756765606e-07,0.2005365450681847,0.6542892332359203,0.963637356642302,0.0,0.0453720854235721,0.9638108355310208,0.2379347044797003,0.811932866512868,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
7,mc456_p_10k_my_params_tiss_id_4_g_0_9_ls_down_cube,0.8924564084787058,0.0,449632976.0,6.380496829018027e-11,906229940.0,2.2062978754448635e-13,,,,,,,0.0209631440422633,0.1447865464822729,0.0209631440422633,0.1447865464822729,0.5003655497141858,0.0,0.5072041783740369,0.0,0.0818981481481481,1.7825786908247596e-126,16.365317954125356,5.227763319542159e-05,0.8993254505704742,0.0,0.2096645710202697,0.8339299734753338,0.6592496352742601,0.5097389924126046,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
8,mc456_p_10mln_my_params_tiss_id_4_g_0_9_ls_down_cube,0.976266407110962,0.0,454908006.0,6.812738418857766e-06,932951724.0,0.9633852621418644,,,,,,,0.0043857249963562,0.0662248065029729,0.0043857249963562,0.0662248065029729,0.5071909744991422,0.0,0.5072041783740369,0.0,0.0012962962962963,0.9999999999999664,0.0023940086688497,0.9609763035088382,0.9781601601991814,0.0,-0.0604123658578172,0.9518273498471308,-0.4087899354600581,0.682695852946483,compare_all_cubes_universal_srednie_2D,porównanie python - język c,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
